Player,Position,Player,,,,,,,,,,,,,,,,,,,
Elena Delle Donne,Forward-Guard,Elena,Delle,Donne,,,,,,,,,,,,,,,,,
Elena Tsineke,,Elena,Tsineke,,,,,,,,,,,,,,,,,,
Elissa Cunane,,Elissa,Cunane,,,,,,,,,,,,,,,,,,
Elizabeth Balogun,,Elizabeth,Balogun,,,,,,,,,,,,,,,,,,
Elizabeth Kitley,Center,Elizabeth,Kitley,,,,,,,,,,,,,,,,,,
Elizabeth Williams,Center-Forward,Elizabeth,Williams,,,,,,,,,,,,,,,,,,
Emani Jefferson,,Emani,Jefferson,,,,,,,,,,,,,,,,,,
Emily Engstler,Forward,Emily,Engstler,,,,,,,,,,,,,,,,,,
Emma Cannon,Forward,Emma,Cannon,,,,,,,,,,,,,,,,,,
Epiphanny Prince,Guard,Epiphanny,Prince,,,,,,,,,,,,,,,,,,
Erica Wheeler,Guard,Erica,Wheeler,,,,,,,,,,,,,,,,,,
Esmery Martinez,Forward,Esmery,Martinez,,,,,,,,,,,,,,,,,,
Essence Booker,,Essence,Booker,,,,,,,,,,,,,,,,,,
Evina Westbrook,Guard,Evina,Westbrook,,,,,,,,,,,,,,,,,,
Ezi Magbegor,Center,Ezi,Magbegor,,,,,,,,,,,,,,,,,,
Feyonda Fitzgerald,,Feyonda,Fitzgerald,,,,,,,,,,,,,,,,,,
Gabby Williams,Forward,Gabby,Williams,,,,,,,,,,,,,,,,,,
Georgia Amoore,Guard,Georgia,Amoore,,,,,,,,,,,,,,,,,,
Grace Berger,Guard,Grace,Berger,,,,,,,,,,,,,,,,,,
Hailey Van Lith,Guard,Hailey,Van,Lith,,,,,,,,,,,,,,,,,
Haley Jones,Forward-Guard,Haley,Jones,,,,,,,,,,,,,,,,,,
Haley Peters,Forward,Haley,Peters,,,,,,,,,,,,,,,,,,
Han Xu,Center,Han,Xu,,,,,,,,,,,,,,,,,,
Harmoni Turner,Guard,Harmoni,Turner,,,,,,,,,,,,,,,,,,
Helena Pueyo,,Helena,Pueyo,,,,,,,,,,,,,,,,,,
Honesty Scott-Grayson,,Honesty,Scott-Grayson,,,,,,,,,,,,,,,,,,
Iliana Rupert,Center,Iliana,Rupert,,,,,,,,,,,,,,,,,,
Isabelle Harrison,Forward,Isabelle,Harrison,,,,,,,,,,,,,,,,,,
Ivana Dojkić,Guard,Ivana,Dojkić,,,,,,,,,,,,,,,,,,
Jackie Young,Guard,Jackie,Young,,,,,,,,,,,,,,,,,,
Jacy Sheldon,Guard,Jacy,Sheldon,,,,,,,,,,,,,,,,,,
Jade Loville,,Jade,Loville,,,,,,,,,,,,,,,,,,
Jade Melbourne,Guard,Jade,Melbourne,,,,,,,,,,,,,,,,,,
Jaelyn Brown,Guard-Forward,Jaelyn,Brown,,,,,,,,,,,,,,,,,,
Jaime Nared,,Jaime,Nared,,,,,,,,,,,,,,,,,,
Jakia Brown-Turner,,Jakia,Brown-Turner,,,,,,,,,,,,,,,,,,
Janelle Salaun,Forward,Janelle,Salaun,,,,,,,,,,,,,,,,,,
Jasmine Dickey,Guard,Jasmine,Dickey,,,,,,,,,,,,,,,,,,
Jasmine Thomas,Guard,Jasmine,Thomas,,,,,,,,,,,,,,,,,,
Jasmine Walker,,Jasmine,Walker,,,,,,,,,,,,,,,,,,
Jayla Everett,,Jayla,Everett,,,,,,,,,,,,,,,,,,
Jaylyn Sherrod,Guard,Jaylyn,Sherrod,,,,,,,,,,,,,,,,,,
Jaz Shelley,,Jaz,Shelley,,,,,,,,,,,,,,,,,,
Jazmine Jones,,Jazmine,Jones,,,,,,,,,,,,,,,,,,
Jennie Simms,Guard,Jennie,Simms,,,,,,,,,,,,,,,,,,
Jessica Shepard,Forward,Jessica,Shepard,,,,,,,,,,,,,,,,,,
Jessika Carter,,Jessika,Carter,,,,,,,,,,,,,,,,,,
Jewell Loyd,Guard,Jewell,Loyd,,,,,,,,,,,,,,,,,,
JJ Quinerly,Guard,JJ,Quinerly,,,,,,,,,,,,,,,,,,
Jocelyn Willoughby,Forward-Guard,Jocelyn,Willoughby,,,,,,,,,,,,,,,,,,
JoJo Lacey,,JoJo,Lacey,,,,,,,,,,,,,,,,,,
Jonquel Jones,Forward,Jonquel,Jones,,,,,,,,,,,,,,,,,,
Jordan Hobbs,,Jordan,Hobbs,,,,,,,,,,,,,,,,,,
Jordan Horston,Guard-Forward,Jordan,Horston,,,,,,,,,,,,,,,,,,
Jordin Canada,Guard,Jordin,Canada,,,,,,,,,,,,,,,,,,
Joyner Holmes,Forward,Joyner,Holmes,,,,,,,,,,,,,,,,,,
Julie Allemand,Guard,Julie,Allemand,,,,,,,,,,,,,,,,,,
Julie Vanloo,Guard,Julie,Vanloo,,,,,,,,,,,,,,,,,,
Kadi Sissoko,Forward,Kadi,Sissoko,,,,,,,,,,,,,,,,,,
Kaela Davis,,Kaela,Davis,,,,,,,,,,,,,,,,,,
Kahleah Copper,Guard-Forward,Kahleah,Copper,,,,,,,,,,,,,,,,,,
Kaila Charles,Guard-Forward,Kaila,Charles,,,,,,,,,,,,,,,,,,
Kaitlyn Chen,,Kaitlyn,Chen,,,,,,,,,,,,,,,,,,
Kalani Brown,Center,Kalani,Brown,,,,,,,,,,,,,,,,,,
Kamila Borkowska,,Kamila,Borkowska,,,,,,,,,,,,,,,,,,
Kamilla Cardoso,Center,Kamilla,Cardoso,,,,,,,,,,,,,,,,,,
Kariata Diaby,Center,Kariata,Diaby,,,,,,,,,,,,,,,,,,
Karlie Samuelson,Guard,Karlie,Samuelson,,,,,,,,,,,,,,,,,,
Kate Martin,Guard,,,,,,,,,,,,,,,,,,,,
Kathryn Westbeld,Forward,Kathryn,Westbeld,,,,,,,,,,,,,,,,,,
Katie Lou Samuelson,Forward,Katie,Lou,Samuelson,,,,,,,,,,,,,,,,,
Katrina Pardee,,Katrina,Pardee,,,,,,,,,,,,,,,,,,
Kayana Traylor,Guard,Kayana,Traylor,,,,,,,,,,,,,,,,,,
Kayla McBride,Guard,Kayla,McBride,,,,,,,,,,,,,,,,,,
Kayla Thornton,Forward,Kayla,Thornton,,,,,,,,,,,,,,,,,,
Kaylynne Truong,,Kaylynne,Truong,,,,,,,,,,,,,,,,,,
Kelsey Mitchell,Guard,Kelsey,Mitchell,,,,,,,,,,,,,,,,,,
Kelsey Plum,Guard,Kelsey,Plum,,,,,,,,,,,,,,,,,,
Kennedy Burke,Guard-Forward,Kennedy,Burke,,,,,,,,,,,,,,,,,,
Khaalia Hillsman,Center,Khaalia,Hillsman,,,,,,,,,,,,,,,,,,
Khadijiah Cave,,Khadijiah,Cave,,,,,,,,,,,,,,,,,,
Kia Nurse,Guard,Kia,Nurse,,,,,,,,,,,,,,,,,,
Kiah Stokes,Center,Kiah,Stokes,,,,,,,,,,,,,,,,,,
Kiana Williams,Guard,Kiana,Williams,,,,,,,,,,,,,,,,,,
Kierstan Bell,Forward,Kierstan,Bell,,,,,f,,,,,,,,,,,,,
Kiki Iriafen,Forward,Kiki,Iriafen,,,,,,,,,,,,,,,,,,
Kiki Jefferson,,Kiki,Jefferson,,,,,,,,,,,,,,,,,,
Kitija Laksa,Guard,Kitija,Laksa,,,,,,,,,,,,,,,,,,
Kristi Toliver,Guard,Kristi,Toliver,,,,,,,,,,,,,,,,,,
Kristine Anigwe,Forward-Center,Kristine,Anigwe,,,,,,,,,,,,,,,,,,
Kristy Wallace,Guard,Kristy,Wallace,,,,,,,,,,,,,,,,,,
Kyara Linskens,Center,Kyara,Linskens,,,,,,,,,,,,,,,,,,
Kysre Gondrezick,Guard,Kysre,Gondrezick,,,,,,,,,,,,,,,,,,
LaDazhia Williams,,LaDazhia,Williams,,,,,,,,,,,,,,,,,,
Laeticia Amihere,Forward,Laeticia,Amihere,,,,,,,,,,,,,,,,,,
Lauren Cox,Forward,Lauren,Cox,,,,,,,,,,,,,,,,,,
Layshia Clarendon,Guard,Layshia,Clarendon,,,,,,,,,,,,,,,,,,
Leaonna Odom,,Leaonna,Odom,,,,,,,,,,,,,,,,,,
Leigha Brown,Guard,Leigha,Brown,,,,,,,,,,,,,,,,,,
Leila Lacan,Guard,Leila,Lacan,,,,,,,,,,,,,,,,,,
Leilani Correa,,Leilani,Correa,,,,,,,,,,,,,,,,,,
Leonie Fiebich,Forward,Leonie,Fiebich,,,,,,,,,,,,,,,,,,
Lexi Held,Guard,Lexi Held,Held,,,,,,,,,,,,,,,,,,
Lexie Brown,Guard,Lexie,Brown,,,,,,,,,,,,,,,,,,
Lexie Hull,Guard,Lexie,Hull,,,,,,,,,,,,,,,,,,
Li Meng,Guard,Li,Meng,,,,,,,,,,,,,,,,,,
Li Yueru,Center,Li,Yueru,,,,,,,,,,,,,,,,,,
Liatu King,Forward,Liatu,King,,,,,,,,,,,,,,,,,,
Lindsay Allen,Guard,Lindsay,Allen,,,,,,,,,,,,,,,,,,
Linnae Harper,Guard,Linnae,Harper,,,,,,,,,,,,,,,,,,
Liz Dixon,Forward,Liz,Dixon,,,,,,,,,,,,,,,,,,
Lorela Cubaj,Forward-Center,Lorela,Cubaj,,,,,,,,,,,,,,,,,,
Lou Lopez Senechal,Guard,Lou,Lopez,Sénéchal,,,,,,,,,,,,,,,,,
Lucy Olsen,Guard,Lucy,Olsen,,,,,,,,,,,,,,,,,,
Mackenzie Holmes,,Mackenzie,Holmes,,,,,,,,,,,,,,,,,,
Maddy Siegrist,Forward,Maddy,Siegrist,,,,,,,,,,,,,,,,,,
Maddy Westbeld,Forward,Maddy,Westbeld,,,,,,,,,,,,,,,,,,
Madi Williams,,Madi,Williams,,,,,,,,,,,,,,,,,,
Madison Conner,,Madison,Conner,,,,,,,,,,,,,,,,,,
Madison Hayes,,Madison,Hayes,,,,,,,,,,,,,,,,,,
Madison Scott,,Madison,Scott,,,,,,,,,,,,,,,,,,
Mai Yamamoto,,Mai,Yamamoto,,,,,,,,,,,,,,,,,,
Makayla Timpson,Forward,Makayla,Timpson,,,,,,,,,,,,,,,,,,
Mamignan Touré,,Mamignan,Touré,,,,,,,,,,,,,,,,,,
Maria Gakdeng,,Maria,Gakdeng,,,,,,,,,,,,,,,,,,
Maria Kliundikova,Forward,Maria,Kliundikova,,,,,,,,,,,,,,,,,,
Marième Badiane,Center,Marième,Badiane,,,,,,,,,,,,,,,,,,
Marieme Badiane,Forward,Marieme,Badiane,,,,,,,,,,,,,,,,,,
Marina Mabrey,Guard,Marina,Mabrey,,,,,,,,,,,,,,,,,,
Marine Johannès,Guard,Marine,Johannès,,,,,,,,,,,,,,,,,,
Marine Johannes,Guard,Marine,Johannes,,,,,,,,,,,,,,,,,,
