Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Cate Reese (42957495),Cate Reese,42957495,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,6th
PG/SG,Ndjakalenga Mwenentanda (42957497),Ndjakalenga Mwenentanda,42957497,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,7th
SF/PF,Grace VanSlooten (42957499),Grace VanSlooten,42957499,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,1st
PG/SG,Jaelyn Brown (42957501),Jaelyn Brown,42957501,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,6.9
PG/SG,Madison Hayes (42957503),Madison Hayes,42957503,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,5th
SF/PF,Mariella Fasoula (42957505),Mariella Fasoula,42957505,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,6th
PG/SG,Alex Wilson (42957507),Alex Wilson,42957507,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
PG/SG,Betnijah Laney-Hamilton (42957509),Betnijah Laney-Hamilton,42957509,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,9th
PG/SG,DiDi Richards (42957511),DiDi Richards,42957511,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,9th
SF/PF,Pauline Astier (42957513),Pauline Astier,42957513,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,11th
SF/PF,Manuela Puoch (42957515),Manuela Puoch,42957515,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,11th
PG/SG,Derin Erdogan (42957517),Derin Erdogan,42957517,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,9th
SF/PF,Raquel Carrera (42957519),Raquel Carrera,42957519,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,12th
SF/PF,Ugonne Onyiah (42957521),Ugonne Onyiah,42957521,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,11th
SF/PF,Seehia Ridard (42957523),Seehia Ridard,42957523,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,11th
SF/PF,Annika Soltau (42957525),Annika Soltau,42957525,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,11th
PG/SG,Marine Fauthoux (42957527),Marine Fauthoux,42957527,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,9th
