date,player,offerName,over_under,line,americanOdds,sportsbook,game_time
2025-08-21,Haley Jones,Points,Under,7.5,-108,BetOnline,2025-08-21T02:00:00
2025-08-21,Cameron Brink,Points,Over,4.5,-130,BetOnline,2025-08-21T02:00:00
2025-08-21,Cameron Brink,Points,Under,4.5,100,BetOnline,2025-08-21T02:00:00
2025-08-19,Leonie Fiebich,3-Pointers,Over,1.5,124,BetOnline,2025-08-19T23:00:00
2025-08-19,Leonie Fiebich,3-Pointers,Under,1.5,-161,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,3-Pointers,Over,1.5,149,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,3-Pointers,Under,1.5,-196,BetOnline,2025-08-19T23:00:00
2025-08-19,Jonquel Jones,3-Pointers,Over,1.5,120,BetOnline,2025-08-19T23:00:00
2025-08-19,Jonquel Jones,3-Pointers,Under,1.5,-156,BetOnline,2025-08-19T23:00:00
2025-08-19,Kayla McBride,3-Pointers,Over,2.5,-119,BetOnline,2025-08-19T23:00:00
2025-08-19,Kayla McBride,3-Pointers,Under,2.5,-109,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,3-Pointers,Over,2.5,141,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,3-Pointers,Under,2.5,-185,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,3-Pointers,Over,1.5,174,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,3-Pointers,Under,1.5,-233,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,3-Pointers,Over,1.5,112,BetOnline,2025-08-19T23:00:00
2025-08-19,Alanna Smith,3-Pointers,Under,1.5,-145,BetOnline,2025-08-19T23:00:00
2025-08-19,Marina Mabrey,3-Pointers,Over,2.5,139,BetOnline,2025-08-19T23:30:00
2025-08-19,Marina Mabrey,3-Pointers,Under,2.5,-182,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,3-Pointers,Over,1.5,-164,BetOnline,2025-08-19T23:30:00
2025-08-19,Sonia Citron,3-Pointers,Under,1.5,125,BetOnline,2025-08-19T23:30:00
2025-08-20,Gabby Williams,3-Pointers,Over,1.5,155,BetOnline,2025-08-20T00:00:00
2025-08-20,Gabby Williams,3-Pointers,Under,1.5,-204,BetOnline,2025-08-20T00:00:00
2025-08-20,Skylar Diggins-Smith,3-Pointers,Over,1.5,161,BetOnline,2025-08-20T00:00:00
2025-08-20,Skylar Diggins-Smith,3-Pointers,Under,1.5,-213,BetOnline,2025-08-20T00:00:00
2025-08-20,Nneka Ogwumike,3-Pointers,Over,1.5,130,BetOnline,2025-08-20T00:00:00
2025-08-20,Nneka Ogwumike,3-Pointers,Under,1.5,-169,BetOnline,2025-08-20T00:00:00
2025-08-20,Rachel Banham,3-Pointers,Over,1.5,-172,BetOnline,2025-08-20T00:00:00
2025-08-20,Rachel Banham,3-Pointers,Under,1.5,132,BetOnline,2025-08-20T00:00:00
2025-08-20,Jackie Young,3-Pointers,Over,1.5,-122,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,3-Pointers,Under,1.5,-106,BetOnline,2025-08-20T02:00:00
2025-08-20,Jewell Loyd,3-Pointers,Over,1.5,-156,BetOnline,2025-08-20T02:00:00
